"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADI1",-0.75977067977068,9.84495145631068,-5.10755418799628,1.48170002605122e-06,0.0200251758520822,4.79993226784497
"ZNF266",-0.539905814905815,8.96893203883495,-4.68471844463068,8.49995719033771e-06,0.0503572258864366,3.28026799538778
"ZNF85",-0.466760851760852,8.94611650485437,-4.61646697355059,1.11780745585875e-05,0.0503572258864366,3.04240895397838
"ALG13",-0.3296996996997,7.72045307443366,-4.52317501218978,1.61919917466178e-05,0.054708692113885,2.72083220417925
"DOCK9",-0.212535831285832,6.93179611650485,-4.32768877956227,3.46838402156914e-05,0.0718086944541575,2.06076329662551
"ZNF638 /// ZNF638-IT1",-0.33423832923833,10.3303883495146,-4.28833893966812,4.03315710552462e-05,0.0718086944541575,1.93022251113964
"RNF111",-0.331408681408683,8.22398058252427,-4.17057099487798,6.30257888923799e-05,0.0718086944541575,1.54434619370965
"MCM3AP",-0.268383292383292,6.9641359223301,-4.14292904966297,6.99094792681276e-05,0.0718086944541575,1.45483798416622
"BBS1",-0.545782145782147,8.15242718446602,-4.11677905511737,7.70817115678631e-05,0.0718086944541575,1.37053860444984
"CDH18",0.272153972153972,6.80533980582524,4.08370604699415,8.71673317623603e-05,0.0718086944541575,1.26445155856379
"AKAP9",-0.348321048321049,7.16851132686084,-4.07067838875097,9.14775841307354e-05,0.0718086944541575,1.22282675654382
"SECISBP2",-0.404848484848485,8.76941747572815,-4.05081014600182,9.8446494854537e-05,0.0718086944541575,1.15952451512244
"EPM2AIP1",-0.481453726453728,9.29174757281553,-4.0460918840959,0.000100174653612195,0.0718086944541575,1.14452352400834
"GCOM1 /// POLR2M",-0.404527027027028,9.25718446601942,-4.04075907547309,0.000102162869932199,0.0718086944541575,1.12758343975512
"KANSL3",-0.408316953316953,9.04650485436893,-4.0280739638591,0.000107045169815881,0.0718086944541575,1.08735126810301
"C7orf55-LUC7L2 /// LUC7L2",-0.400913185913187,9.31567961165049,-4.00680366988742,0.000115736773341999,0.0718086944541575,1.02009028335204
"CCNI",-0.288802211302212,11.1583009708738,-4.00326162380309,0.000117248204365394,0.0718086944541575,1.00891403019931
"CCNT2",-0.241072891072891,7.96249190938511,-3.99398503397481,0.000121296625825178,0.0718086944541575,0.979676644760915
"FRYL",-0.413978296478297,9.35621359223301,-3.99214209911999,0.000122116668469575,0.0718086944541575,0.973873912557742
"MEIS3P1",-0.618779688779689,8.18893203883495,-3.98929771036042,0.000123392737944705,0.0718086944541575,0.964921689530173
